"","respid","birth.year","age","years.nk","edu.nk","class.nk","gender","origins","female","years.sk","pride.socialism","pride.politicalinfluence","pride.economics","pride.science","pride.sports","pride.arts","pride.baekdublood","pride.military","pride.revolutionaryhist","pride.groups","pride.juche","pride.socialsecurity","year.survey","weights"
"176",176,1973,46,33,"Secondary School","Low",0,"North Hamgyong",0,12,1,1,1,1,1,1,1,1,1,1,1,1,2016,3
"177",177,1973,46,33,"Secondary School","Middle",1,"North Hamgyong",1,12,4,4,4,4,4,4,3,4,3,4,3,4,2016,1.437181996
"178",178,1970,49,33,"Secondary School","Middle-low",1,"North Hamgyong",1,10,NA,4,4,NA,4,4,4,4,4,4,3,4,2016,1.437181996
"179",179,1969,50,33,"Secondary School","Low",0,"Unspecified",0,14,2,2,2,2,3,2,2,2,2,2,2,2,2016,NA
"180",180,1968,51,33,"Secondary School","Low",1,"North Hamgyong",1,3,4,3,1,3,4,4,2,3,2,1,2,2,2016,1.437181996
"181",181,1968,51,33,"Secondary School","Middle",1,"Gangwon",1,4,3,3,3,2,2,2,1,2,1,1,2,2,2016,2.874363992
"182",182,1968,51,33,"Technical Training","Middle-low",1,"Gangwon",1,10,4,3,2,4,NA,NA,3,4,2,3,2,4,2016,2.667496887
"183",183,1968,51,33,"Secondary School","Middle",1,"North Hamgyong",1,10,3,3,2,3,4,4,3,3,3,3,2,4,2016,1.437181996
"184",184,1968,51,33,"Secondary School","High",1,"Ryanggang",1,12,3,3,2,1,1,4,2,3,3,2,4,2,2016,3
"185",185,1967,52,33,"Secondary School","Low",1,"North Hamgyong",1,2,2,2,1,3,3,NA,2,2,2,2,4,4,2016,1.437181996
"186",186,1967,52,33,"University+","Middle-high",1,"Pyongyang",1,19,2,2,2,2,2,2,2,2,2,2,2,2,2016,0.666874222
"187",187,1981,38,34,"Secondary School","Middle",1,"Ryanggang",1,3,2,2,2,2,3,3,2,3,2,2,2,2,2016,3
"188",188,1979,40,34,"Secondary School","Middle",0,"South Hamgyong",0,6,2,2,3,2,2,2,1,3,2,2,2,2,2016,3
"189",189,1975,44,34,"Secondary School","Middle-high",0,"South Hwanghae",0,9,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"190",190,1973,46,34,"Secondary School","Middle-high",0,"North Hamgyong",0,12,NA,4,3,3,4,4,3,4,3,4,4,NA,2016,3
"191",191,1970,49,34,"Secondary School","Low",1,"North Hamgyong",1,6,2,2,2,2,3,3,2,3,3,2,2,2,2016,1.437181996
"192",192,1970,49,34,"Secondary School","Low",1,"North Hamgyong",1,10,2,3,3,3,3,4,2,3,2,2,2,2,2016,1.437181996
"193",193,1969,50,34,"Secondary School","Low",1,"Pyongyang",1,4,3,3,3,4,4,4,2,3,2,3,2,3,2016,0.718590998
