"","respid","birth.year","age","years.nk","edu.nk","class.nk","gender","origins","female","years.sk","pride.socialism","pride.politicalinfluence","pride.economics","pride.science","pride.sports","pride.arts","pride.baekdublood","pride.military","pride.revolutionaryhist","pride.groups","pride.juche","pride.socialsecurity","year.survey","weights"
"594",594,1967,52,41,"Secondary School","Middle",1,"Ryanggang",1,2,2,2,2,2,3,3,2,2,2,2,2,2,2019,3
"595",595,1974,45,25,"Secondary School","Low",1,"North Hamgyong",1,4,2,1,1,3,3,3,1,4,3,3,3,1,2019,1.437181996
"596",596,NA,NA,NA,"Secondary School","Middle-high",1,"Ryanggang",1,2,3,3,3,4,3,4,3,3,NA,4,4,3,2019,3
"597",597,1988,31,22,"Secondary School","Middle",1,"South Hamgyong",1,4,1,1,1,2,1,1,1,1,1,1,1,1,2019,1.437181996
"598",598,1994,25,18,"Secondary School","Middle-high",0,"Ryanggang",0,6,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"599",599,1971,48,28,"<=Elementary","Low",1,"South Hamgyong",1,8,3,3,3,3,3,3,3,3,3,3,3,3,2019,1.397260274
"600",600,1967,52,32,"Secondary School","Low",1,"North Hamgyong",1,4,2,2,2,2,2,3,2,3,2,2,2,2,2019,1.437181996
"601",601,1983,36,21,"Secondary School","Low",1,"North Hamgyong",1,5,3,3,3,4,4,4,4,4,4,3,3,3,2019,1.437181996
"602",602,1970,49,32,"Secondary School","Low",1,"North Hamgyong",1,9,2,2,2,4,3,4,1,1,1,1,1,1,2019,1.437181996
"603",603,1969,50,39,"Secondary School","Middle-low",1,"North Hamgyong",1,11,3,2,1,4,3,4,2,NA,1,1,1,1,2019,1.437181996
"604",604,1998,21,13,"Secondary School","Middle-high",0,"North Hamgyong",0,8,3,3,3,2,2,2,2,2,2,2,2,2,2019,3
"605",605,1985,34,29,"Secondary School","Middle",1,"North Hamgyong",1,5,3,3,3,4,3,3,3,3,3,3,3,3,2019,1.437181996
"606",606,1974,45,40,"Secondary School","Low",1,"Ryanggang",1,4,4,4,3,NA,4,4,3,NA,3,3,3,3,2019,3
"607",607,1987,32,16,"Secondary School","Middle",0,"North Hamgyong",0,3,2,2,2,2,2,NA,2,2,2,2,2,NA,2019,3
"608",608,1965,54,46,"Technical Training",NA,0,"Ryanggang",0,7,2,2,2,2,4,2,2,2,2,2,2,2,2019,3
"609",609,1993,26,16,"Secondary School","High",1,"North Hamgyong",1,7,3,1,3,3,3,3,3,3,3,2,2,2,2019,1.437181996
"610",610,1965,54,44,"Secondary School","High",0,"North Hamgyong",0,9,3,2,3,3,3,3,2,2,2,2,2,2,2019,3
"611",611,1973,46,39,"Secondary School","Middle-low",1,"North Hamgyong",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"612",612,1966,53,47,"Secondary School","Middle-low",1,"Ryanggang",1,6,4,4,4,NA,4,4,3,NA,4,4,3,3,2019,3
"613",613,1983,36,15,"Secondary School","Middle",1,"North Hamgyong",1,7,2,2,2,2,2,4,2,4,2,2,2,2,2019,1.437181996
"614",614,1987,32,18,"Secondary School","Middle",1,"North Hamgyong",1,7,2,2,2,2,2,4,2,4,4,4,2,4,2019,1.437181996
"615",615,1980,39,26,"Technical Training","Low",1,"North Hamgyong",1,7,2,4,2,2,4,4,2,NA,2,2,2,2,2019,1.333748443
"616",616,1971,48,37,"University+","Middle-low",1,"South Hamgyong",1,4,NA,3,3,NA,3,3,3,NA,NA,3,3,3,2019,1.333748443
"617",617,1964,55,49,"Secondary School","Middle-high",0,"North Hamgyong",0,6,4,2,2,2,2,4,2,4,2,2,2,2,2019,3
"618",618,1972,47,24,"Technical Training","Low",1,"North Hamgyong",1,6,2,2,2,3,3,4,2,3,2,2,2,2,2019,1.333748443
"619",619,1963,56,35,"Secondary School","Low",1,"North Hamgyong",1,12,3,2,2,2,2,4,2,2,2,2,2,2,2019,1.437181996
"620",620,1989,30,29,"Secondary School","Middle",0,"Ryanggang",0,1,2,3,3,3,4,4,3,4,3,2,3,2,2019,3
"621",621,1971,48,36,"Secondary School","Low",1,"North Hamgyong",1,4,2,3,2,3,3,4,2,3,2,2,2,2,2019,1.437181996
"622",622,1991,28,24,"Secondary School","Middle",1,"Ryanggang",1,3,3,3,3,3,3,3,3,3,3,3,3,3,2019,3
"623",623,1990,29,20,"Secondary School","High",NA,"Ryanggang",NA,9,3,1,NA,3,3,3,3,3,3,3,3,3,2019,NA
"624",624,1982,37,33,"University+","High",1,"Ryanggang",1,4,3,3,4,3,3,3,3,2,3,2,2,2,2019,3
"625",625,1977,42,31,"Secondary School","Middle-high",1,"Ryanggang",1,6,3,3,4,4,4,2,2,2,2,2,2,2,2019,3
"626",626,1974,45,23,"Secondary School","Middle-low",1,"North Hamgyong",1,15,3,1,1,1,1,1,1,3,1,2,2,2,2019,1.437181996
"627",627,1991,28,20,"Secondary School","Middle",1,"Ryanggang",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"628",628,1990,29,23,"Secondary School","Low",1,"Gangwon",1,1,2,1,1,1,1,2,1,1,1,1,1,2,2019,2.874363992
"629",629,1997,22,17,"Secondary School","Middle",1,"Ryanggang",1,1,2,2,2,2,2,4,2,2,2,2,2,2,2019,3
"630",630,1985,34,22,"Secondary School","Middle-low",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"631",631,1972,47,36,"Secondary School","Middle-low",NA,"North Hamgyong",NA,1,2,2,1,1,1,1,1,1,1,1,1,1,2019,NA
"632",632,1994,25,19,"Secondary School","Middle",1,"Ryanggang",1,1,2,1,1,1,2,2,2,2,2,2,2,2,2019,3
"633",633,1980,39,18,"Secondary School","Low",1,"Ryanggang",1,1,2,3,2,3,3,4,2,3,2,2,2,2,2019,3
"634",634,1948,71,64,"Secondary School","Low",1,"North Hamgyong",1,7,2,3,2,3,3,4,2,3,2,2,2,2,2019,1.437181996
"635",635,1964,55,33,"Secondary School","Low",1,"North Hamgyong",1,5,3,3,2,3,3,4,3,3,4,3,3,3,2019,1.437181996
"636",636,1974,45,37,"Secondary School","Middle",0,"North Hamgyong",0,8,2,2,2,2,2,2,2,3,2,2,2,2,2019,3
"637",637,1961,58,37,"Secondary School","Low",1,"North Hamgyong",1,8,3,3,3,3,3,3,3,2,2,2,2,2,2019,1.437181996
"638",638,1963,56,44,"Secondary School","Low",1,"South Hamgyong",1,6,2,2,2,2,2,2,2,2,3,2,2,2,2019,1.437181996
"639",639,1975,44,29,"Secondary School","Middle-low",1,"North Hamgyong",1,5,3,3,3,3,3,3,3,3,3,3,3,3,2019,1.437181996
"640",640,1984,35,30,"University+","High",1,"Ryanggang",1,4,3,3,4,3,3,3,3,2,3,2,2,2,2019,3
"641",641,1995,24,19,"Secondary School","Middle-high",0,"Ryanggang",0,5,3,4,1,1,1,1,1,1,1,1,1,1,2019,3
"642",642,1964,55,41,"Secondary School","Low",1,"Ryanggang",1,4,2,2,2,2,2,4,2,3,2,2,2,2,2019,3
"643",643,1975,44,20,"Secondary School","Low",1,"South Hamgyong",1,11,3,3,4,3,3,3,2,NA,3,2,2,2,2019,1.437181996
"644",644,1970,49,39,"Secondary School","High",0,"Ryanggang",0,10,1,1,1,1,1,1,1,1,1,1,1,1,2019,3
"645",645,1975,44,34,"University+","High",0,"Ryanggang",0,10,3,3,4,1,4,4,2,2,2,2,2,2,2019,3
"646",646,1975,44,34,"University+","High",0,NA,0,10,3,3,3,3,4,4,2,2,2,2,2,2,2019,NA
"647",647,1975,44,21,"Secondary School","Low",1,"South Hamgyong",1,22,3,3,4,3,3,3,3,3,3,3,3,3,2019,1.437181996
"648",648,1989,30,20,"Secondary School","Middle-low",0,"North Hamgyong",0,10,3,3,4,4,2,2,2,2,2,2,2,2,2019,3
"649",649,1980,39,29,"Secondary School","Low",0,"Ryanggang",0,10,3,3,4,4,4,2,2,2,2,2,2,2,2019,3
"650",650,1990,29,19,"Secondary School","High",0,"Ryanggang",0,10,3,3,4,4,2,2,2,2,2,2,2,2,2019,3
"651",651,1991,28,24,"Secondary School","Middle",0,"Ryanggang",0,3,4,4,3,4,3,4,4,1,4,2,4,2,2019,3
"652",652,1978,41,33,"Technical Training","Middle-high",1,"Ryanggang",1,8,3,3,4,3,3,3,3,3,3,2,2,2,2019,3
"653",653,1990,29,17,"<=Elementary","Low",1,"Ryanggang",1,6,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"654",654,1956,63,57,"University+","Middle",0,"Ryanggang",0,6,2,2,2,2,2,2,2,2,2,NA,2,2,2019,3
"655",655,1996,23,11,"University+","Middle-high",1,"South Hwanghae",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2019,2.000622665
"656",656,1982,37,25,"Secondary School","Low",1,"Gangwon",1,9,2,3,2,3,1,3,1,3,1,2,1,1,2019,2.874363992
"657",657,1969,50,29,"Secondary School","Low",1,"Ryanggang",1,4,4,4,2,4,4,4,2,2,4,4,2,2,2019,3
"658",658,1980,39,18,"Secondary School","Low",1,"South Hamgyong",1,14,2,2,2,2,2,2,3,3,2,3,2,3,2019,1.437181996
"659",659,1957,62,47,"Secondary School","Low",1,"North Hamgyong",1,8,2,2,2,2,4,4,2,2,2,2,2,2,2019,1.437181996
"660",660,1949,70,61,"Secondary School","Middle",1,"Ryanggang",1,8,2,2,2,2,3,3,3,3,3,2,2,2,2019,3
"661",661,1969,50,35,"Secondary School","Middle",1,"North Hamgyong",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"662",662,1981,38,22,"Secondary School","Middle",1,"North Hamgyong",1,9,3,2,1,3,3,2,3,2,2,2,2,3,2019,1.437181996
"663",663,2000,19,17,"Secondary School","Middle-high",1,"Ryanggang",1,2,4,4,3,4,NA,4,3,4,NA,4,4,3,2019,3
"664",664,1948,71,59,"Secondary School","Low",1,"North Hamgyong",1,11,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"665",665,1968,51,29,"Technical Training","Low",1,"North Hamgyong",1,5,3,3,2,3,3,3,3,3,3,2,2,2,2019,1.333748443
"666",666,1979,40,30,"Secondary School","Middle-high",1,"Ryanggang",1,10,3,3,3,4,2,2,2,2,2,2,2,2,2019,3
"667",667,1968,51,41,"Technical Training","Low",0," South Pyongan",0,10,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,2019,1.732323232
"668",668,1974,45,23,"Secondary School","Low",1,"North Hamgyong",1,9,4,3,3,4,4,4,4,4,4,4,3,3,2019,1.437181996
"669",669,1984,35,23,"Secondary School","Middle-low",1,"North Hamgyong",1,4,3,1,1,1,1,1,1,1,1,1,1,1,2019,1.437181996
"670",670,1976,43,22,"University+","Middle-high",1,"North Hamgyong",1,14,3,3,3,3,3,3,3,3,3,3,3,3,2019,1.333748443
"671",671,1978,41,31,"Technical Training","Middle-low",1,"Ryanggang",1,10,4,3,2,2,2,2,2,3,2,2,2,2,2019,3
"672",672,1993,26,17,"Technical Training","Middle-low",0,"Ryanggang",0,2,2,2,2,2,3,3,2,2,2,2,2,2,2019,3
"673",673,1984,35,26,"Secondary School","Middle",1,"Ryanggang",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"674",674,1990,29,23,"Technical Training","Middle-high",1,"Ryanggang",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"675",675,1972,47,29,"Secondary School","Middle-high",1,"South Hamgyong",1,4,3,3,3,NA,NA,4,NA,4,4,3,3,3,2019,1.437181996
"676",676,1938,81,70,"Secondary School","Low",1,"North Hamgyong",1,10,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"677",677,1980,39,18,"Secondary School","Low",1,"Ryanggang",1,1,2,2,2,2,2,4,2,3,2,2,2,2,2019,3
"678",678,1948,71,50,"Secondary School","Low",1,"Ryanggang",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"679",679,1971,48,40,"Secondary School","Middle",0,"North Hamgyong",0,8,4,4,NA,NA,NA,NA,3,NA,4,3,4,4,2019,3
"680",680,1971,48,33,"Secondary School","Low",1,"North Hamgyong",1,15,4,2,2,4,NA,4,2,4,4,2,4,4,2019,1.437181996
"681",681,1974,45,23,"Secondary School","Low",1,"North Hamgyong",1,15,3,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"682",682,1995,24,20,"Secondary School","Middle-low",1,"Ryanggang",1,1,3,3,3,3,3,3,3,3,3,3,3,3,2019,3
"683",683,1957,62,53,"University+","Low",1,"Ryanggang",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"684",684,1972,47,30,"Secondary School","Middle-low",1,"Ryanggang",1,2,2,2,2,2,2,2,2,3,2,2,2,2,2019,3
"685",685,1972,47,28,"Secondary School","Low",0,"North Hamgyong",0,3,2,3,2,2,2,2,2,2,2,2,2,2,2019,3
"686",686,1984,35,25,"Secondary School","Low",1,"Ryanggang",1,9,3,2,2,3,3,3,3,3,3,3,3,3,2019,3
"687",687,1987,32,21,"Secondary School","Middle-low",1,"North Hamgyong",1,8,3,4,2,2,3,3,2,3,2,3,3,3,2019,1.437181996
"688",688,1980,39,28,"University+","Middle",1,"North Hamgyong",1,11,2,2,2,3,4,NA,2,2,2,2,3,2,2019,1.333748443
"689",689,1968,51,29,"Secondary School","Low",1,"North Pyongan",1,17,2,3,2,2,3,2,2,3,2,2,2,2,2019,0.718590998
"690",690,1975,44,31,"Technical Training","Middle-low",1,"North Hamgyong",1,12,2,2,2,2,4,4,2,2,2,2,2,2,2019,1.333748443
"691",691,1970,49,47,"Secondary School","Middle-high",1,"Ryanggang",1,2,3,2,2,2,4,4,3,2,3,2,4,2,2019,3
"692",692,1960,59,53,"Technical Training","Middle-low",1,"Gangwon",1,6,3,2,3,3,3,3,3,3,1,3,3,3,2019,2.667496887
"693",693,1977,42,31,"Secondary School","Middle-low",1,"North Hamgyong",1,10,3,3,NA,2,2,1,3,2,3,3,3,3,2019,1.437181996
"694",694,1986,33,23,"Technical Training","Middle-low",0,"Pyongyang",0,10,3,3,2,2,3,3,2,4,3,2,3,2,2019,1.732323232
"695",695,1969,50,46,"Secondary School","High",1,"Ryanggang",1,2,4,3,3,3,3,NA,3,4,3,3,3,3,2019,3
"696",696,1969,50,46,"University+","Middle-high",1,"Ryanggang",1,3,2,3,2,4,4,4,2,4,2,3,3,3,2019,3
"697",697,1972,47,32,"Secondary School","Low",1,"North Hamgyong",1,3,3,3,2,2,3,4,3,3,3,2,2,2,2019,1.437181996
"698",698,1966,53,49,"Secondary School","Middle-high",0,"Ryanggang",0,3,3,2,2,2,2,4,2,3,2,2,2,2,2019,3
"699",699,1990,29,20,"Secondary School","High",0,"North Hamgyong",0,8,2,2,2,1,4,4,3,1,1,2,2,2,2019,3
"700",700,1986,33,29,"Secondary School","Middle-high",0,"Ryanggang",0,4,2,2,2,4,4,3,2,NA,3,3,2,2,2019,3
"701",701,1987,32,29,"Secondary School","Middle",0,"Ryanggang",0,3,2,2,2,4,2,2,2,2,2,2,2,2,2019,3
"702",702,1988,31,28,"Secondary School","Middle-low",1,"Ryanggang",1,3,2,3,3,4,3,3,3,NA,3,NA,3,3,2019,3
